timestamp,open,high,low,close,volume
2018-03-29 14:33:00,1043.5200,1043.5200,1043.5200,1043.5200,100
2018-03-29 14:32:00,1043.1200,1043.4800,1042.5700,1043.4800,300
2018-03-29 14:31:00,1044.6000,1044.6500,1043.1800,1043.3400,3443
2018-03-29 14:30:00,1042.3203,1043.9400,1042.3203,1043.4950,1120
2018-03-29 14:29:00,1042.3400,1042.9600,1042.3400,1042.9600,700
2018-03-29 14:28:00,1042.0000,1042.1600,1040.9500,1041.8700,1600
2018-03-29 14:27:00,1041.0200,1041.8300,1040.6200,1041.8300,1111
2018-03-29 14:26:00,1039.9500,1041.0500,1039.9500,1041.0500,2955
2018-03-29 14:25:00,1040.1700,1040.1700,1039.6400,1039.6400,620
2018-03-29 14:24:00,1041.4800,1041.4800,1040.2300,1040.2900,1300
2018-03-29 14:23:00,1041.0100,1041.9391,1040.2800,1041.0300,2300
2018-03-29 14:22:00,1042.2000,1042.4400,1041.2900,1041.4300,2436
2018-03-29 14:21:00,1041.0300,1042.7000,1040.9900,1042.7000,1362
2018-03-29 14:20:00,1039.6100,1040.4500,1039.6100,1040.4500,700
2018-03-29 14:19:00,1040.0800,1040.0800,1039.3900,1039.3900,200
2018-03-29 14:18:00,1041.0100,1041.0100,1039.1200,1040.0650,5705
2018-03-29 14:17:00,1041.3000,1042.2200,1041.1800,1041.6400,2814
2018-03-29 14:16:00,1042.9700,1043.4000,1041.1700,1041.4800,4000
2018-03-29 14:15:00,1042.3700,1043.2300,1042.0850,1042.4200,2000
2018-03-29 14:14:00,1043.8500,1044.0100,1042.0400,1042.0600,4900
2018-03-29 14:13:00,1044.0700,1044.3400,1043.5500,1043.6900,2550
2018-03-29 14:12:00,1044.2500,1044.6500,1043.6800,1043.6900,4869
2018-03-29 14:11:00,1043.1450,1043.5600,1042.7000,1043.5600,2985
2018-03-29 14:10:00,1043.9900,1043.9900,1042.7000,1043.1900,2700
2018-03-29 14:09:00,1043.5300,1044.0000,1043.1400,1043.1400,1923
2018-03-29 14:08:00,1044.0500,1044.2000,1043.0400,1043.6550,3141
2018-03-29 14:07:00,1042.7643,1044.0000,1042.7643,1043.8800,1823
2018-03-29 14:06:00,1042.3000,1043.3100,1042.0100,1042.6300,2001
2018-03-29 14:05:00,1041.8400,1042.0750,1041.8400,1042.0750,1400
2018-03-29 14:04:00,1040.8700,1041.9699,1040.7300,1041.9699,900
2018-03-29 14:03:00,1042.6200,1042.8000,1041.0000,1041.0000,3594
2018-03-29 14:02:00,1041.8900,1042.6100,1041.8600,1042.6100,2227
2018-03-29 14:01:00,1043.4700,1043.5300,1041.6600,1041.6600,5256
2018-03-29 14:00:00,1042.9700,1043.1600,1042.5800,1043.1600,1700
2018-03-29 13:59:00,1043.8100,1044.0300,1043.2350,1043.5700,4553
2018-03-29 13:58:00,1043.4400,1043.7200,1043.2000,1043.5900,1100
2018-03-29 13:57:00,1042.0400,1044.0000,1042.0400,1043.6150,9283
2018-03-29 13:56:00,1041.7000,1042.1450,1041.5300,1042.0900,1250
2018-03-29 13:55:00,1041.9100,1041.9100,1041.6600,1041.6623,300
2018-03-29 13:54:00,1042.5850,1042.6000,1041.2610,1041.7824,1665
2018-03-29 13:53:00,1042.7900,1043.2649,1042.4800,1042.4800,3161
2018-03-29 13:52:00,1042.7518,1043.1300,1042.0100,1042.9020,2826
2018-03-29 13:51:00,1042.4800,1042.9099,1042.0601,1042.6877,2100
2018-03-29 13:50:00,1041.8750,1042.7100,1041.5000,1042.2300,11355
2018-03-29 13:49:00,1042.2400,1042.5500,1041.6100,1041.7100,5100
2018-03-29 13:48:00,1041.1340,1042.1500,1041.1340,1042.1500,2300
2018-03-29 13:47:00,1041.0600,1041.4500,1040.4900,1041.0500,2143
2018-03-29 13:46:00,1042.1000,1042.1050,1041.2000,1041.7100,2425
2018-03-29 13:45:00,1041.4900,1041.8300,1041.4500,1041.8300,1117
2018-03-29 13:44:00,1040.5800,1041.4200,1040.4200,1041.4200,700
2018-03-29 13:43:00,1040.7400,1040.8000,1040.0100,1040.5500,2588
2018-03-29 13:42:00,1039.9900,1041.0000,1039.9000,1041.0000,6500
2018-03-29 13:41:00,1039.9100,1040.5100,1039.3500,1039.9500,9519
2018-03-29 13:40:00,1039.5200,1040.6500,1039.1400,1040.1500,2990
2018-03-29 13:39:00,1039.3500,1040.3050,1039.3500,1039.9200,1781
2018-03-29 13:38:00,1037.6000,1039.2419,1037.6000,1039.2419,928
2018-03-29 13:37:00,1037.5700,1037.8150,1037.0400,1037.2763,1323
2018-03-29 13:36:00,1037.3900,1037.8850,1037.0400,1037.5100,2700
2018-03-29 13:35:00,1038.6000,1038.6850,1037.6624,1037.6624,2331
2018-03-29 13:34:00,1038.7350,1038.8600,1037.4200,1038.6000,3273
2018-03-29 13:33:00,1038.0050,1039.5000,1038.0050,1038.7050,6661
