timestamp,open,high,low,close,volume
2018-03-26,1050.6000,1059.2700,1010.5800,1054.0900,3272409
2018-03-23,1051.3700,1066.7800,1024.8700,1026.5500,2413517
2018-03-22,1080.0100,1083.9200,1049.6400,1053.1500,3418154
2018-03-21,1092.5700,1108.7000,1087.2100,1094.0000,1990515
2018-03-20,1098.4000,1105.5500,1082.4200,1095.8000,2709310
2018-03-19,1117.7600,1119.3700,1088.9200,1100.0700,3076349
2018-03-16,1155.3500,1156.8100,1131.3600,1134.4200,2654602
2018-03-15,1149.5700,1162.5000,1135.6600,1150.6100,1623868
2018-03-14,1145.8000,1159.7600,1142.3500,1148.8900,2033697
2018-03-13,1171.8300,1178.0000,1134.5700,1139.9100,2129435
2018-03-12,1165.0500,1178.1600,1159.2000,1165.9300,2129297
2018-03-09,1139.5000,1161.0000,1134.2900,1160.8400,2070174
2018-03-08,1117.2000,1131.4400,1117.2000,1129.3800,1510478
2018-03-07,1092.8200,1116.2000,1089.9100,1115.0400,1537429
2018-03-06,1102.1000,1105.6300,1094.5000,1100.9000,1169068
2018-03-05,1078.1300,1101.1800,1072.2700,1094.7600,1432369
2018-03-02,1057.9800,1086.8900,1050.1100,1084.1400,2508145
2018-03-01,1109.5400,1111.2700,1067.2900,1071.4100,2766856
2018-02-28,1122.0000,1127.6500,1103.0000,1103.9200,2431023
2018-02-27,1143.7000,1144.2500,1116.7900,1117.5100,2094863
2018-02-26,1131.8600,1144.2000,1129.3400,1143.7000,1489118
2018-02-23,1118.6600,1129.0000,1108.4400,1128.0900,1234539
2018-02-22,1119.1700,1125.4600,1105.1500,1109.9000,1386115
2018-02-21,1109.1000,1136.2000,1107.5100,1113.7500,2024534
2018-02-20,1092.7600,1116.2900,1090.0000,1103.5900,1646405
2018-02-16,1093.3800,1108.3100,1091.5500,1095.5000,1971928
2018-02-15,1083.4500,1094.1000,1067.2300,1091.3600,1806206
2018-02-14,1054.3200,1075.4700,1049.8000,1072.7000,2029979
2018-02-13,1050.0000,1061.2200,1046.9200,1054.1400,1574121
2018-02-12,1056.6700,1065.5700,1045.4900,1054.5600,2796258
2018-02-09,1025.8800,1051.7200,997.0000,1046.2700,4436032
2018-02-08,1059.8700,1063.9300,1004.7000,1007.7100,3067173
2018-02-07,1084.9700,1086.5300,1054.6200,1055.4100,2544683
2018-02-06,1033.9800,1087.3800,1030.0100,1084.4300,3732527
2018-02-05,1100.6100,1114.9900,1056.7400,1062.3900,3742469
2018-02-02,1127.4200,1131.3000,1111.1700,1119.2000,5798880
2018-02-01,1175.9900,1187.4500,1169.3600,1181.5900,2774967
2018-01-31,1183.8100,1186.3200,1172.1000,1182.2200,1643877
2018-01-30,1177.7200,1187.9300,1174.5100,1177.3700,1792602
2018-01-29,1188.0000,1198.0000,1184.0600,1186.4800,1533931
2018-01-26,1187.5300,1187.5600,1168.0300,1187.5600,1981476
2018-01-25,1180.7100,1185.0000,1171.8400,1182.1400,1398961
2018-01-24,1184.9800,1187.0500,1167.4000,1171.2900,1818182
2018-01-23,1170.6200,1178.5100,1167.2500,1176.1700,1832126
2018-01-22,1143.8200,1166.8800,1141.8200,1164.1600,1437954
2018-01-19,1138.0300,1143.7800,1132.5000,1143.5000,1418376
2018-01-18,1139.3500,1140.5900,1124.4600,1135.9700,1333633
2018-01-17,1136.3600,1139.3200,1123.4900,1139.1000,1353097
2018-01-16,1140.3100,1148.8800,1126.6600,1130.7000,1783881
2018-01-12,1110.1000,1131.3000,1108.0100,1130.6500,1914460
2018-01-11,1112.3100,1114.8500,1106.4800,1112.0500,1102461
2018-01-10,1107.0000,1112.7800,1103.9800,1110.1400,1027781
2018-01-09,1118.4400,1118.4400,1108.2000,1112.7900,1335995
2018-01-08,1111.0000,1119.1600,1110.0000,1114.2100,1148958
2018-01-05,1103.4500,1113.5800,1101.8000,1110.2900,1493389
2018-01-04,1097.0900,1104.0800,1094.2600,1095.7600,1289293
2018-01-03,1073.9300,1096.1000,1073.4300,1091.5200,1550593
2018-01-02,1053.0200,1075.9800,1053.0200,1073.2100,1555809
2017-12-29,1055.4900,1058.0500,1052.7000,1053.4000,1156357
2017-12-28,1062.2500,1064.8400,1053.3800,1055.9500,982285
2017-12-27,1066.6000,1068.2700,1058.3800,1060.2000,1027634
2017-12-26,1068.6400,1068.8600,1058.6400,1065.8500,914574
